claim_id,claim_text,freeze_id,run_id,artifact_path,status
GLHS-BA-001,"Frozen 320 logical schedules: 8 binding-specific families x 32 adversarial schedules = 256 adversarial plus 64 valid controls (GLHS-A05); scientific unit is the logical schedule.",GLHS-BINDING-ABLATION-20260819-01,,evaluation/glhs_binding_only_ablation/schedules.json,FROZEN
GLHS-BA-002,"Every adversarial schedule holds current state/governance coordinates valid and changes only the disclosure dependency (C-007, GLHS-A03); controls preserve all fields (GLHS-A04).",GLHS-BINDING-ABLATION-20260819-01,,evaluation/glhs_binding_only_ablation/schedules.json,FROZEN
GLHS-BA-003,"The no-binding arm is evaluation-only: never selectable through production HTTP/env/tenant/runtime flags (GLHS-A02); services/** cannot import the package (GR-03, C-004); no disable_binding/no_exact_binding flag exists in services/**.",GLHS-BINDING-ABLATION-20260819-01,,evaluation/glhs_binding_only_ablation/adapter.py + validate.py,FROZEN
GLHS-BA-004,"Gate C arm-diff: for every schedule the two arm executions are byte-identical on all non-binding governance coordinates; only the exact disclosure dependency check differs.",GLHS-BINDING-ABLATION-20260819-01,,evaluation/glhs_binding_only_ablation/validate.py,FROZEN
GLHS-BA-005,"Primary analysis frozen pre-execution: paired invalid-commit acceptance on 256 adversarial schedules, numerator/denominator, paired risk difference + 95% paired bootstrap CI (deterministic seed), discordant counts, exact McNemar, per-family; no adaptive sample size (GLHS-A06).",GLHS-BINDING-ABLATION-20260819-01,,evaluation/glhs_binding_only_ablation/protocol.json,FROZEN
GLHS-BA-006,"Exact-binding arm rejects all 256 invalid-commit adversarial schedules and accepts all 64 valid controls through the production admission path over isolated PostgreSQL.",GLHS-BINDING-ABLATION-20260819-01,GLHS-BA-POSTGRES-20260819-05,research/glhs_journal/binding_only_ablation/results/,CLAIM_ELIGIBLE
GLHS-BA-007,"No-binding arm admits all 256 adversarial schedules while preserving all governance coordinates; paired RD is 1.0 (95% paired bootstrap CI 1.0 to 1.0) and exact two-sided McNemar p=1.727233711018889e-77.",GLHS-BINDING-ABLATION-20260819-01,GLHS-BA-POSTGRES-20260819-05,research/glhs_journal/binding_only_ablation/results/,CLAIM_ELIGIBLE
GLHS-BA-008,"Raw executions are append-only and hash-chained; observer re-verifies the chain and fails closed on tamper.",GLHS-BINDING-ABLATION-20260819-01,GLHS-BA-POSTGRES-20260819-05,evaluation/glhs_binding_only_ablation/observer.py + research/glhs_journal/binding_only_ablation/results/raw/,CLAIM_ELIGIBLE
GLHS-BA-009,"Seal covers exactly what executed: SHA-256 of protocol, schedules, sources, raw streams and analysis; backend is isolated PostgreSQL and is reported honestly.",GLHS-BINDING-ABLATION-20260819-01,GLHS-BA-POSTGRES-20260819-05,research/glhs_journal/binding_only_ablation/seal/,CLAIM_ELIGIBLE
GLHS-BA-010,"No SQLite smoke result is retained or used as final evidence; the retained result is the isolated PostgreSQL run.",GLHS-BINDING-ABLATION-20260819-01,GLHS-BA-POSTGRES-20260819-05,research/glhs_journal/binding_only_ablation/results/,NOT_USED
