source_id,citation,year,system,read_state_semantics,write_semantics,policy_or_consent_semantics,binding_between_read_and_write,concurrency_semantics,health_specific,gap_for_GLHS,status,source_url,review_receipt
MEMTXN-2026,"Cui et al., MemTxn: A Transaction Boundary for Source-Supported Updates and Complete-State Recovery in Agent Memory",2026,MemTxn,"Temporal Resolver selects visible version under a declared chronology contract.","Ordered PatchTest admits source-supported updates; durable snapshot journal recovers active state.","Evidence support and source provenance are admission inputs; no health consent model.","Source citation supports the proposed update; reviewed text does not specify a later model-consumed disclosure bound to a health persistent proposal.","Conflict/version resolution and recovery; no health governance-writer race claim used here.",no,"Precludes novelty claims for generic source-supported transaction boundaries, temporal version selection, or recovery. GLHS remains limited to a health disclosure actually consumed during inference being a later write-admission dependency.",full_text_scope_coded,https://arxiv.org/abs/2607.27834,research/glhs_journal/literature_review_receipt_20260817.csv
MEMTX-2026,"Li et al., MemTX: Transactional Belief Commit for Stateful Agent Memory",2026,MemTX,"Records carry evidence permissions provenance and validity; writes are snapshot-isolated.","Validate-and-commit pipeline stages belief records and gates irreversible tool calls; retraction triggers cascading repair.","Permissions and validity are record attributes; no clinical consent semantics asserted.","Belief lifecycle and in-flight action-safety state bind a belief to later action gating; this is a close generic precedent.","Snapshot-isolated transactions plus machine-checked state-machine properties and bounded exploration.",no,"Precludes novelty claims for generic transactional belief commit, stale-write prevention, evidence/provenance/permission metadata, or action gating. GLHS must not claim a unique commit machinery.",full_text_scope_coded,https://arxiv.org/abs/2607.23929,research/glhs_journal/literature_review_receipt_20260817.csv
GATEMEM-2026,"Ren et al., GateMem: Benchmarking Memory Governance in Multi-Principal Shared-Memory Agents",2026,GateMem,"Multi-principal episodic memory queried at hidden checkpoints under roles scopes and relationships.","Benchmark evaluates state updates and active forgetting at the agent interface.","Contextual access-control boundaries and deletion requests; not a co-versioned clinical consent contract.","Evaluates disclosure governance and updates but reviewed material does not establish an exact consumed disclosure as an auditable dependency of a later persistent health proposal.","Incremental memory injection and checkpoint evaluation; no GLHS-specific commit admission semantics claimed.",partly,"Precludes a generic governed-memory or multi-principal health-memory benchmark novelty claim. GLHS distinction cannot be a broad hospital-memory claim.",full_text_scope_coded,https://arxiv.org/abs/2606.18829,research/glhs_journal/literature_review_receipt_20260817.csv
CORDON-2026,"Cordon: Semantic Transactions for Tool-Using LLM Agents",2026,Cordon,"Task-scoped semantic transaction tracks tool intents result lineage and shadow state.","Stages external effects in an outbox and validates composed execution before commit or release.","Delegated authority is transaction metadata; no health consent/policy version asserted.","Task transaction binds lineage authority staged state and effects; it is a close generic task-level boundary rather than a claimed health disclosure-to-proposal contract.","Commit/recovery semantics and containment invariants across multi-step workflows.",no,"Precludes novelty claims for task-scoped semantic transactions, lineage-aware staging, rollback/recovery, or audit of generic agent effects.",full_text_scope_coded,https://arxiv.org/abs/2606.17573,research/glhs_journal/literature_review_receipt_20260817.csv
TOKI-2026,"TOKI: A Bitemporal Operator Algebra for Contradiction Resolution in LLM-Agent Persistent Memory",2026,TOKI,"Versioned facts carry valid time system time provenance and isolation preconditions.","Typed contradiction-resolution operators write dual rows and preserve losing facts in audit rows.","Per-rule policy is an operator family member; no health consent lifecycle asserted.","Operator contract binds write-time isolation and provenance; it does not by itself demonstrate the exact health disclosure consumed by inference as a later proposal-admission dependency.","Soundness across isolation schema and provenance; multi-writer contention and write-time anomaly analysis.",no,"Precludes novelty claims for bitemporal agent-memory writes, provenance-preserving audit rows, typed conflict operators, isolation contracts, or write-time anomaly prevention.",full_text_scope_coded,https://arxiv.org/abs/2606.06240,research/glhs_journal/literature_review_receipt_20260817.csv
VERIFIED-CONCURRENCY-2026,"Verified Detection and Prevention of Concurrency Anomalies in Multi-Agent Large Language Model Systems",2026,Verified concurrency runtimes,"Long-running read-generate-write operations over shared memory stores vector indices and tool registries.","Verified runtimes detect or prevent stale-generation phantom-tool causal-cascade and tool-effect-reordering anomalies.","No clinical consent or policy-version semantics in the reviewed scope.","Read-generate-write lineage is central to anomaly definitions; no health disclosure/consent/purpose tuple is claimed here.","TLA+ anomaly catalog; Verus proofs; snapshot isolation locking and execution-mode prevention levels.",no,"Precludes novelty claims for generic verified read-generate-write consistency hierarchies or general concurrency-anomaly prevention.",full_text_scope_coded,https://arxiv.org/abs/2606.17182,research/glhs_journal/literature_review_receipt_20260817.csv
COMMITGUARD-2026,"Temporary Authority, Permanent Effects: Commit-Time Authorization for LLM Agents",2026,CommitGuard,"Earlier authority witnesses may be DOM snapshots approval epochs version witnesses branch tokens or worker results.","Fail-closed commit-boundary monitor refreshes rebinds replans or refuses before durable effect.","Authority freshness causal priority binding and eligibility are checked at commit; no health consent version asserted.","Explicit witness-to-effect binding is a close generic precedence for commit-time authorization; no claim of health disclosure consumed during inference or health persistent-state proposal is used.","Controlled invalidation across browser tool/API and multi-agent workflows; no GLHS PostgreSQL governance-writer conclusion inferred.",no,"Precludes novelty claims for generic stale-authorization revalidation, commit-time authorization, witness freshness, or fail-closed durability monitoring.",full_text_scope_coded,https://arxiv.org/abs/2607.10487,research/glhs_journal/literature_review_receipt_20260817.csv
PROVENACT-2026,"Peng and Wu, Stateful Governance for Concurrent Agentic Systems",2026,MasuGate,"Policy programs evaluate operations against mutable policy state.","Provider contracts coordinate policy state and effects so committed effects remain authorized immediately before commit.","Stateful policy authorization; no clinical consent or disclosure-minimization semantics asserted.","Policy-state serializability binds effect authorization to current policy state; it is a close generic precedence but not evidence of a model-consumed health disclosure as the later persistent proposal dependency.","PostgreSQL-backed prototype addresses stale authorization and policy-induced conflicts while allowing unrelated work.",no,"Precludes novelty claims for stateful governance, policy-state serializability, generic stale authorization, or PostgreSQL policy/effect coordination.",full_text_scope_coded,https://arxiv.org/abs/2608.02764,research/glhs_journal/literature_review_receipt_20260817.csv
GOVERNED-SHARED-MEMORY-2026,"Margalit et al., Governed Shared Memory for Multi-Agent LLM Systems",2026,MemClaw,"Scoped retrieval and temporal supersession over multi-tenant fleet memory.","Policy-governed propagation with provenance tracking and audit/reconstruction of derivation chains.","Scope enforcement and policy-governed propagation; no health consent version model claimed.","Retrieval scope and propagation provenance are governed; reviewed text does not establish a later persistent proposal bound to the exact inference disclosure.","Live REST evaluation includes stale propagation contradiction persistence and provenance collapse; no GLHS health-commit equivalence claimed.",no,"Precludes novelty claims for governed shared memory, scoped retrieval, temporal supersession, provenance reconstruction, or live REST governance evaluation alone.",full_text_scope_coded,https://arxiv.org/abs/2606.24535,research/glhs_journal/literature_review_receipt_20260817.csv
HEALTHCLAW-2026,"Li et al., A Self-Evolving Agent for Longitudinal Personal Health Management",2026,HealthClaw,"Private longitudinal memory stores profile facts reusable procedures and episodic traces; induction selects what changes after episodes.","Updates profile/procedure/episodic memory or excludes an item after each episode.","Private health context and safety rules are separated; the reviewed scope does not supply a versioned consent/purpose write-admission contract.","Selective persistence/disclosure is health-specific, but no equivalence to THSS consumed-disclosure binding at persistent proposal admission is claimed.","Longitudinal synthetic benchmark and privacy probes; no governance-writer race conclusion inferred.",yes,"Precludes novelty claims for longitudinal health memory, adaptive health-agent persistence, or prompt-side context minimization alone. GLHS claim must remain narrower than health memory generally.",full_text_scope_coded,https://arxiv.org/abs/2607.13940,research/glhs_journal/literature_review_receipt_20260817.csv
