claim_id,claim_text,evidence_artifact,status,allowed_wording,forbidden_wording
GLHS-BIND-001,THSS-consuming proposals cannot silently use base-version-only admission,services/api/tests/test_glhs_mandatory_thss_binding.py;services/api/tests/test_commitment_endpoints_integration.py;services/api/tests/test_glhs_gateway.py,supported_gateway_and_commitment_api,"The direct gateway rejects an explicitly THSS-consuming proposal without a snapshot binding; activation revalidates current actor and purpose; the public commitment proposal API requires snapshot coordinates.","All possible API or PostgreSQL paths have been demonstrated."
GLHS-BIND-003,Known model-originated generic assertion writes are prohibited rather than admitted unbound,services/api/tests/test_glhs_mandatory_thss_binding.py;research/glhs_journal/model_thss_write_path_audit.md,supported_gateway_path_audit,"The audited generic assertion gateway rejects model-originated writes; the public commitment proposal route is human-governed and binding-required.","Every future model-derived write path is covered or mandatory binding is fully demonstrated on PostgreSQL."
GLHS-TOCTOU-001,Governance changes between read and commit are rejected on PostgreSQL,NOT_RUN,NOT_RUN,"PostgreSQL governance TOCTOU execution is pending.","The full governance race matrix passed."
GLHS-TOCTOU-DEV-002,Two sequential PostgreSQL development schedules rejected invalid snapshot-bound proposals,artifacts/glhs-postgres-toctou/2026-08-16-dev-002/result.json,development_only,"In an isolated development schema, TOCTOU-01 and TOCTOU-04 rejected the tested invalid proposals; the other schedules are NOT RUN.","The PostgreSQL TOCTOU matrix passed or concurrent governance safety is established."
GLHS-TOCTOU-DEV-004,One two-session consent/proposal race completed proposal commit before observed revoke commit,artifacts/glhs-postgres-toctou/2026-08-16-dev-004/result.json,development_only,"One development race committed before the observed revoke commit; it is not evidence about a post-revocation race or the full matrix.","Concurrent governance safety or linearizability is established."
GLHS-TOCTOU-DEV-005,Sequential consent revocation blocked a THSS-bound persistent-write admission attempt in isolated PostgreSQL,artifacts/glhs-postgres-toctou/2026-08-17-dev-005/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-005/environment.json,development_only,"One isolated development schedule rejected apply_transition after consent revocation; it does not establish the full matrix or concurrent ordering.","The PostgreSQL governance race matrix passed or post-revocation linearizability is established."
GLHS-TOCTOU-DEV-006,Development PostgreSQL probe records all five schedule identifiers,artifacts/glhs-postgres-toctou/2026-08-17-dev-006/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-006/environment.json,development_only,"TOCTOU-02 is a synthetic scope-role coordinate check; TOCTOU-03 is indeterminate after a proposal committed after observed revoke; TOCTOU-05 rejected its proposal race. No final concurrency or full-matrix conclusion follows.","All governance writer races are safe or the PostgreSQL TOCTOU matrix passed."
GLHS-TOCTOU-DEV-007,Sanitized ledger-linkage observations exist for one PostgreSQL development probe,artifacts/glhs-postgres-toctou/2026-08-17-dev-007/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-007/environment.json,development_only,"Rejected attempts had zero transition items; one indeterminate concurrent commit reconstructed exact snapshot linkage. This is not audit-completeness evidence.","Audit completeness or concurrent governance safety has been established."
GLHS-TOCTOU-DEV-008,An older isolated image failed the reviewed TOCTOU-02 role-binding driver before result generation,artifacts/glhs-postgres-toctou/2026-08-17-dev-009/run-status.json,not_run_source_image_contract_mismatch,"NOT RUN; image/driver mismatch only and no reviewed-source outcome.","Any claim about reviewed-source behavior, production behavior, or concurrency safety."
GLHS-TOCTOU-DEV-009,Fresh isolated PostgreSQL development probe retained all five schedule outcomes with monotonic ordering evidence,artifacts/glhs-postgres-toctou/2026-08-17-dev-010/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-010/environment.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-010/artifact-sha256.json,development_only,"TOCTOU-03 began before the observed revoke commit and remains indeterminate; the other recorded development outcomes do not close policy-writer, audit, or final-matrix blockers.","The PostgreSQL governance race matrix passed, concurrency is safe, or audit completeness is established."
GLHS-TOCTOU-DEV-010,Fresh isolated PostgreSQL development probe again retained all five schedule outcomes,artifacts/glhs-postgres-toctou/2026-08-17-dev-011/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-011/environment.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-011/artifact-sha256.json,development_only,"TOCTOU-03 started before the observed revoke commit and completed after it, so it remains indeterminate; the other development outcomes do not close policy-writer, audit, repeated-race, or final-matrix blockers.","The PostgreSQL governance race matrix passed, concurrency is safe, or audit completeness is established."
GLHS-TOCTOU-PLAN-001,TOCTOU analysis plan preserves logical-schedule units and indeterminate ordering,research/glhs_journal/postgres_toctou_protocol.json;research/glhs_journal/postgres_toctou_statistics_plan.json,supported_draft_protocol,"The draft plan excludes NOT_RUN and observer-incomplete schedules from denominators and never calls overlapping revoke/commit ordering safe; it is not frozen or an executed result.","The final protocol is frozen, the matrix passed, or concurrency safety is established."
GLHS-ADJ-001,Independent clinical adjudication supports correctness claims,NOT_RUN,NOT_RUN,"Independent clinical adjudication is not available.","Clinical correctness has been independently confirmed."
GLHS-ADJ-002,Adjudication imports are bound to the issued blinded packet set,evaluation/clinical_adjudication/validate_manifest.py;evaluation/clinical_adjudication/packets.py;evaluation/clinical_adjudication/test_packets.py,supported_protocol_safeguard,"The import tool requires exactly two pseudonymous reviewer codes and the annotation-guide hash to match the issued packet manifest; it does not verify external attestations or supply human outcomes.","Independent clinical adjudication occurred or clinical correctness is confirmed."
GLHS-UNIT-001,Historical GLHS unit wording is audited for the manuscript Methods and Results,research/glhs_journal/unit_of_analysis_audit.csv;research/glhs_journal/revision_ready_patchset.md,audited_revision_packet,"The audit distinguishes the 64-subject paired cohort, 1,152 model-condition evaluations, and operational repetitions; it proposes wording clarifications without changing results.","Solver cells are independent subjects; the unit-of-analysis blocker is closed for new evidence; a proposed wording patch has already been applied."
GLHS-LIT-001,Nearest-neighbor literature is full-text scope-coded for conservative novelty boundaries,research/glhs_journal/literature_matrix.csv;research/glhs_journal/literature_review_receipt_20260817.csv,supported_literature_boundary,"The reviewed set prevents generic novelty claims for transactional memory, commit-time authorization, stateful governance, bitemporal writes, governed shared memory, and longitudinal health memory. It supports only a cautious, non-priority description of disclosure-conditioned health commit.","First, unique, no prior work, or a completed exhaustive literature review proves novelty."
