claim_id,paper,claim_text,evidence_artifact,status,allowed_wording,forbidden_wording
RIVF-PRIMARY-001,govred-rivf-2026,Authorization-drift schedule outcomes across research arms,NOT_RUN,NOT_RUN,No quantitative RIVF result is available.,Any generic cybersecurity novelty or RIVF superiority claim.
RIVF-PROTOCOL-001,govred-rivf-2026,The protocol requires isolated HTTP/auth-policy/cache/PostgreSQL/audit execution,evaluation/governance_adversarial/README.md,supported_protocol,The protocol requires a real isolated boundary.,The study was executed or passed.
RIVF-DEV-005,govred-rivf-2026,One isolated STATE_VERSION_ONLY HTTP-to-GST synthetic probe committed after consent revocation,artifacts/govred/2026-08-17-rivf-dev012/http_admission_probe.json;artifacts/govred/2026-08-17-rivf-dev012/environment.json;artifacts/govred/2026-08-17-rivf-dev012/artifact-sha256.json,development_only,One sealed authenticated synthetic trace exercised the selected state-only arm and committed after consent revoke; it is not a complete-boundary or comparative result.,Any claim that cache/audit coverage is complete or that an RIVF attack-success result is available.
RIVF-DEV-006,govred-rivf-2026,One isolated GLHS_STRICT HTTP-to-GST synthetic probe rejected consent-revoked admission,artifacts/govred/2026-08-17-rivf-dev013/http_admission_probe.json;artifacts/govred/2026-08-17-rivf-dev013/environment.json;artifacts/govred/2026-08-17-rivf-dev013/artifact-sha256.json,development_only,One sealed authenticated strict-arm trace rejected the consent-revoked admission; it is not a complete-boundary or comparative result.,Any claim that cache/audit coverage is complete or that an RIVF attack-success result is available.
RIVF-PROTOCOL-002,govred-rivf-2026,The future executor verifies observation and arm implementation artifact bytes against declared hashes,evaluation/governance_adversarial/execute.py;evaluation/governance_adversarial/test_execute.py,supported_protocol,This is a future-run artifact-integrity gate only.,Any claim that an adapter or RIVF outcome exists.
RIVF-PROTOCOL-003,govred-rivf-2026,Named RIVF arms require an explicit non-production clara-rivf isolated-service attestation,services/api/src/clara_api/core/govred_research.py;services/api/tests/test_govred_research_gate.py,supported_protocol,This is an arm-selection isolation gate only.,Any claim that a persistent adapter or RIVF outcome exists.
RIVF-DEV-001,govred-rivf-2026,One synthetic foreign-profile Lifemap smoke was rejected in an isolated deployment,artifacts/govred/2026-08-16-rivf-dev-002/development_smoke_v2.json,development_only,One non-headline HTTP scope smoke is retained; it does not compare research arms or observe the complete boundary.,Any RIVF outcome rate or complete-boundary claim.
RIVF-DEV-002,govred-rivf-2026,One isolated boundary probe denied a foreign-profile request with unchanged PostgreSQL and audit hashes,artifacts/govred/2026-08-17-rivf-dev-004/boundary_path_probe.json;artifacts/govred/2026-08-17-rivf-dev-004/artifact-sha256.json,development_only,One sealed synthetic strict-system probe retained sanitized hashes; changed Redis state prevents any cache-invalidation claim.,Any arm-comparison result or claim that cache behavior was verified.
RIVF-DEV-003,govred-rivf-2026,One repeated isolated boundary probe with GLHS-aware persistence observation denied a foreign-profile request with unchanged PostgreSQL and audit hashes,artifacts/govred/2026-08-17-rivf-dev-005/boundary_path_probe.json;artifacts/govred/2026-08-17-rivf-dev-005/environment.json;artifacts/govred/2026-08-17-rivf-dev-005/artifact-sha256.json,development_only,One sealed synthetic strict-system probe retained sanitized hashes; changed Redis state is unclassified and prevents cache-invalidation or audit-completeness claims.,Any arm-comparison result or claim that cache behavior or complete persistence was verified.
RIVF-DEV-004,govred-rivf-2026,One fresh remote isolated strict-system probe denied a synthetic foreign-profile request with unchanged sampled store hashes,artifacts/govred/2026-08-17-rivf-dev011/boundary_path_probe.json;artifacts/govred/2026-08-17-rivf-dev011/environment.json;artifacts/govred/2026-08-17-rivf-dev011/artifact-sha256.json,development_only,One sealed synthetic strict-system probe retained unchanged PostgreSQL PHR-audit and namespaced Redis hashes for one denied request; it does not exercise a cache/index route research arm or frozen benchmark.,Any cache-invalidation audit-completeness arm-comparison or RIVF outcome claim.
RIVF-DEV-007,govred-rivf-2026,One isolated STATE_VERSION_ONLY HTTP-to-GST synthetic probe rejected a target after a separately committed synthetic state advance,artifacts/govred/2026-08-17-rivf-dev014/http_admission_probe.json;artifacts/govred/2026-08-17-rivf-dev014/environment.json;artifacts/govred/2026-08-17-rivf-dev014/artifact-sha256.json,development_only,One sealed authenticated synthetic trace returned stale_state_version under the state-revalidation arm; it is not a complete-boundary or comparative result.,Any claim that cache/audit coverage is complete or that an RIVF attack-success result is available.
RIVF-DEV-008,govred-rivf-2026,One isolated UNBOUND HTTP-to-GST synthetic probe committed a target after a separately committed synthetic state advance,artifacts/govred/2026-08-17-rivf-dev015/http_admission_probe.json;artifacts/govred/2026-08-17-rivf-dev015/environment.json;artifacts/govred/2026-08-17-rivf-dev015/artifact-sha256.json,development_only,One sealed authenticated synthetic trace committed under the deliberately unbound arm; it is not a complete-boundary or comparative result.,Any claim that cache/audit coverage is complete or that an RIVF attack-success result is available.
RIVF-DEV-009,govred-rivf-2026,One isolated SNAPSHOT_BOUND_STATE_ONLY HTTP-to-GST synthetic probe rejected a target after a separately committed synthetic state advance,artifacts/govred/2026-08-17-rivf-dev016/http_admission_probe.json;artifacts/govred/2026-08-17-rivf-dev016/environment.json;artifacts/govred/2026-08-17-rivf-dev016/artifact-sha256.json,development_only,One sealed authenticated synthetic trace returned stale_state_version while retaining snapshot and state checks; it is not a complete-boundary or comparative result.,Any claim that cache/audit coverage is complete or that an RIVF attack-success result is available.
SOICT-PRIMARY-001,assurance-soict-2026,Mutation score by testing strategy,NOT_RUN,NOT_RUN,No GovMut mutation result is available.,Any claim of novel PBT/state-machine/mutation methodology or mutation-score result.
SOICT-DEV-001,assurance-soict-2026,Isolated staged-source mutant executions exist,research/assurance_soict/claim_to_evidence.csv,development_only,Development diagnostics are retained but no frozen corpus or mutation score exists.,Any comparative testing-strategy result.
SOICT-DEV-002,assurance-soict-2026,The development runner can resolve one named strategy only through the checked development suite matrix,evaluation/property_assurance/mutation_runner.py;evaluation/property_assurance/test_mutation_runner.py;research/assurance_soict/development_suite_matrix.json,supported_development_tooling,This protects target-selection provenance for later development executions; no corpus is frozen and no comparative result exists.,Any claim that a mutation score or testing-strategy comparison has been established.
SOICT-DEV-003,assurance-soict-2026,Generated-method development runs require and retain an explicit Hypothesis seed,evaluation/property_assurance/mutation_runner.py;evaluation/property_assurance/test_mutation_runner.py;research/assurance_soict/statistics_plan.json,supported_development_tooling,This preserves development seed provenance only; the final seed list and protocol remain unfrozen.,Any claim that a mutation score or testing-strategy comparison has been established.
SOICT-DEV-004,assurance-soict-2026,One current-target M02-D development vector has seeded M1/M2/M3 observations and a matrix-selected M0 observation,research/assurance_soict/claim_to_evidence.csv,development_only,One mutant-level development diagnostic vector is retained with M0/M3 killed and M1/M2 survived; no corpus protocol or analysis plan is frozen.,Any mutation score method-comparison result or independent-sample inference.
SOICT-PROTOCOL-004,assurance-soict-2026,A headline GovMut run requires byte-bound corpus/protocol inputs and an externally reviewed complete non-equivalence list,evaluation/property_assurance/final_freeze.py;evaluation/property_assurance/test_final_freeze.py,supported_protocol,Pre-execution integrity gate only; no final freeze or execution exists.,Any claim that an independent review or final mutation result exists.
CGVN-PRIMARY-001,careguard-vn,False-clear rate versus automatic coverage,NOT_RUN,NOT_RUN,No independent CareGuard-VN result is available.,Clinical accuracy or current coverage claims based on historical DrugBank.
CGVN-SOURCE-001,careguard-vn,DDInter 2.0 positive-reference source was acquired in a controlled archive,research/careguard_vn/sources/ddinter_2_0_acquisition_receipt_20260816.json;research/careguard_vn/sources/ddinter_2_0_archive_verification_20260817.json,supported_source_acquisition,A reverified DDInter positive-reference snapshot is retained outside git; DDInter absence remains unknown and the study has no benchmark result.,Any false-clear rate coverage claim or treating DDInter absence as a negative.
CGVN-PROTOCOL-002,careguard-vn,Future authorized RxNorm acquisition requires exact ZIP checksum validation and a full RRF-row inventory,evaluation/careguard_external/acquire_rxnorm.py;evaluation/careguard_external/test_acquire_rxnorm.py,supported_protocol,This is an acquisition safeguard only; no RxNorm terminology source has been acquired.,Any identity accuracy DDI coverage or CareGuard-VN benchmark result.
CGVN-PROTOCOL-003,careguard-vn,A complete CareGuard source set requires distinct declared source identities/URLs/payload hashes for all four roles,evaluation/careguard_external/source_manifest.py;evaluation/careguard_external/test_source_manifest.py,supported_protocol,This is an acquisition independence safeguard only; no complete source set benchmark or CareGuard result exists.,Any identity accuracy DDI coverage or CareGuard-VN benchmark result.
GLHS-REVISION-001,glhs-journal,Independent clinical adjudication is available,NOT_RUN,NOT_RUN,Independent clinical adjudication is not yet available.,Claiming clinical correctness has been independently adjudicated.
GLHS-BIND-002,glhs-journal,An explicitly THSS-consuming proposal cannot downgrade to unbound admission,services/api/tests/test_glhs_mandatory_thss_binding.py;services/api/tests/test_commitment_endpoints_integration.py,supported_gateway_and_api,The direct gateway rejects declared THSS consumption without exact snapshot binding; the public commitment API requires binding coordinates and rejects a foreign-profile snapshot.,All API and PostgreSQL paths have been demonstrated.
GLHS-TOCTOU-DEV-001,glhs-journal,One isolated PostgreSQL development schedule rejected a THSS-bound apply_transition after consent revocation,artifacts/glhs-postgres-toctou/2026-08-17-dev-005/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-005/environment.json,development_only,One development persistent-write admission attempt was rejected after consent revocation; the TOCTOU matrix and audit completeness remain NOT RUN.,Any full PostgreSQL TOCTOU or concurrency-safety claim.
GLHS-TOCTOU-DEV-002,glhs-journal,Development PostgreSQL probe records an indeterminate post-revoke concurrent commit,artifacts/glhs-postgres-toctou/2026-08-17-dev-006/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-006/environment.json,development_only,One concurrent apply_transition completed after observed revoke and is indeterminate; it cannot support a safety claim.,Any claim that concurrency or the full TOCTOU matrix is safe.
GLHS-TOCTOU-DEV-003,glhs-journal,Development probe retained sanitized exact-snapshot ledger linkage for an indeterminate concurrent commit,artifacts/glhs-postgres-toctou/2026-08-17-dev-007/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-007/environment.json,development_only,One indeterminate development commit reconstructed an exact snapshot linkage; rejected attempts had no transition item. This is not audit completeness.,Any audit-completeness or concurrent-safety claim.
GLHS-TOCTOU-DEV-004,glhs-journal,Development PostgreSQL probe rejected a THSS-bound commit after a persisted delegate-role change and fresh scope resolution,artifacts/glhs-postgres-toctou/2026-08-17-dev-008/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-008/environment.json,development_only,One isolated sequential development trace rejected the role-changed delegate as proposal_snapshot_actor_role_mismatch with zero transition items. It is not a global policy-writer test or a concurrency-safety result.,Any claim that authorization-race safety or audit completeness is established.
GLHS-TOCTOU-DEV-005,glhs-journal,An attempted probe against an older isolated image was not run after its role-binding contract mismatch,artifacts/glhs-postgres-toctou/2026-08-17-dev-009/run-status.json,not_run_source_image_contract_mismatch,The old isolated image is incompatible with the reviewed role-binding driver and supplied no result artifact.,Any claim about reviewed-source behavior production behavior or concurrency safety.
GLHS-TOCTOU-DEV-006,glhs-journal,Fresh isolated PostgreSQL development probe retained all five schedule outcomes with monotonic concurrent-order observations,artifacts/glhs-postgres-toctou/2026-08-17-dev-010/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-010/environment.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-010/artifact-sha256.json,development_only,One fresh development run rejected the recorded sequential/mutation schedules; its concurrent transition began before the observed revoke commit and remains indeterminate.,Any claim that the PostgreSQL TOCTOU matrix passed that concurrency is safe or that audit completeness is established.
GLHS-TOCTOU-DEV-007,glhs-journal,Fresh isolated PostgreSQL development probe again retained all five schedule outcomes,artifacts/glhs-postgres-toctou/2026-08-17-dev-011/result.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-011/environment.json;artifacts/glhs-postgres-toctou/2026-08-17-dev-011/artifact-sha256.json,development_only,One fresh development run rejected the recorded sequential/mutation schedules; its concurrent transition started before observed revoke and completed after it so it remains indeterminate.,Any claim that the PostgreSQL TOCTOU matrix passed that concurrency is safe or that audit completeness is established.
GLHS-TOCTOU-PLAN-001,glhs-journal,TOCTOU analysis plan preserves logical-schedule units and indeterminate ordering,research/glhs_journal/postgres_toctou_protocol.json;research/glhs_journal/postgres_toctou_statistics_plan.json,supported_draft_protocol,The draft plan excludes NOT_RUN and observer-incomplete schedules from denominators and never calls overlapping revoke/commit ordering safe.,Any claim that the final protocol is frozen the matrix passed or concurrency safety is established.
GLHS-ADJ-002,glhs-journal,Adjudication imports are bound to the issued blinded packet set,evaluation/clinical_adjudication/validate_manifest.py;evaluation/clinical_adjudication/packets.py;evaluation/clinical_adjudication/test_packets.py,supported_protocol_safeguard,The import tool requires exactly two pseudonymous reviewer codes and the annotation-guide hash to match the issued packet manifest; it does not verify external attestations or supply human outcomes.,Independent clinical adjudication occurred or clinical correctness is confirmed.
FMC-POLICY-001,fmc-2026,Organizer permits presentation of related under-review work,NOT_RUN,NOT_RUN,Materials may be prepared but not submitted pending organizer confirmation.,Organizer policy has cleared submission.
FMC-FORMAT-001,fmc-2026,Official FMC writing guideline was rechecked for preparation format,research/fmc2026/official_guideline_receipt_20260817.json,supported_venue_receipt,The official guideline states bilingual 250-word preparation requirements and a published-work declaration; it does not clear related under-review work or archival status.,Organizer policy permits submission or FMC is confirmed non-archival.
