claim_id,claim,metric,value,evidence_artifact,evidence_sha256
CLAIM-MUTSCORE-M0_regression,Mutant-level mutation score for M0_regression,mutation_score,0.3556,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-MUTSCORE-M0_regression,Mutant-level mutation score for M0_regression,mutation_score,0.3556,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-INFRA-M0_regression,Infra-excluded mutants for M0_regression,excluded_infra_mutants,0,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-INFRA-M0_regression,Infra-excluded mutants for M0_regression,excluded_infra_mutants,0,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-ROBUST-M0_regression,Robust (detected_all_seeds) score for M0_regression,robustness_score,0.3556,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-ROBUST-M0_regression,Robust (detected_all_seeds) score for M0_regression,robustness_score,0.3556,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-MUTSCORE-M1_stateless_property,Mutant-level mutation score for M1_stateless_property,mutation_score,0.0889,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-MUTSCORE-M1_stateless_property,Mutant-level mutation score for M1_stateless_property,mutation_score,0.0889,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-INFRA-M1_stateless_property,Infra-excluded mutants for M1_stateless_property,excluded_infra_mutants,0,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-INFRA-M1_stateless_property,Infra-excluded mutants for M1_stateless_property,excluded_infra_mutants,0,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-ROBUST-M1_stateless_property,Robust (detected_all_seeds) score for M1_stateless_property,robustness_score,0.0889,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-ROBUST-M1_stateless_property,Robust (detected_all_seeds) score for M1_stateless_property,robustness_score,0.0889,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-MUTSCORE-M2_state_machine,Mutant-level mutation score for M2_state_machine,mutation_score,0.1333,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-MUTSCORE-M2_state_machine,Mutant-level mutation score for M2_state_machine,mutation_score,0.1333,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-INFRA-M2_state_machine,Infra-excluded mutants for M2_state_machine,excluded_infra_mutants,0,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-INFRA-M2_state_machine,Infra-excluded mutants for M2_state_machine,excluded_infra_mutants,0,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-ROBUST-M2_state_machine,Robust (detected_all_seeds) score for M2_state_machine,robustness_score,0.0889,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-ROBUST-M2_state_machine,Robust (detected_all_seeds) score for M2_state_machine,robustness_score,0.0889,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-MUTSCORE-M3_combined,Mutant-level mutation score for M3_combined,mutation_score,0.4444,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-MUTSCORE-M3_combined,Mutant-level mutation score for M3_combined,mutation_score,0.4444,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-INFRA-M3_combined,Infra-excluded mutants for M3_combined,excluded_infra_mutants,0,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-INFRA-M3_combined,Infra-excluded mutants for M3_combined,excluded_infra_mutants,0,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
CLAIM-ROBUST-M3_combined,Robust (detected_all_seeds) score for M3_combined,robustness_score,0.4222,govmut-soict-2026-final_run-v2,c59768dced443bb9cde6ba78762b728522cc9f581e30556b008f4b054e7cb6ce
CLAIM-ROBUST-M3_combined,Robust (detected_all_seeds) score for M3_combined,robustness_score,0.4222,govmut-soict-2026-final_analysis-v2,e3ab1832c42be2a745ddae4ab960697143688302f78f6f4c08e82ef379278a67
