claim_id,claim,evidence_artifact,status,allowed_wording
SOICT-PROTOCOL-001,The study defines mutant-level mutation score,research/assurance_soict/statistics_plan.json,supported_protocol,Protocol only.
SOICT-SUBSTRATE-001,A state machine exercises idempotent replay and stale-write rejection,evaluation/property_assurance/test_state_machine.py,supported_development_test,In-process development test only.
SOICT-SUBSTRATE-002,An independent toy governed-store contract exercises co-versioned commit coordinates,evaluation/property_assurance/toy_governed_store.py;evaluation/property_assurance/test_toy_governed_store.py,supported_development_test,Independent nonclinical contract substrate only; no mutation score or generalization result.
SOICT-PROTOCOL-002,Forty-five one-change anchored mutation candidates cover twelve governance fault families,research/assurance_soict/mutation_site_candidates.json;evaluation/property_assurance/test_mutation_catalog.py,supported_protocol,Anchors are verified temporary-overlay candidates only; no executable corpus denominator score or M0–M3 comparison exists.
SOICT-PROTOCOL-003,Three unanchored governance fault families have explicit noncosmetic implementation requirements,research/assurance_soict/unanchored_family_rationale.md,supported_protocol,M10 M12 and M15 are intentionally excluded until their cross-boundary fault injectors and non-equivalence oracles exist.
SOICT-PROTOCOL-004,A headline GovMut run requires byte-bound corpus/protocol inputs the exact repository revision and an externally reviewed complete non-equivalence list,evaluation/property_assurance/final_freeze.py;evaluation/property_assurance/test_final_freeze.py,supported_protocol,Pre-execution integrity gate only; no final freeze or execution exists.
SOICT-DEV-002,Pre-isolation-fix M02-A runs,artifacts/assurance/2026-08-16-dev-001/m1_m02-a.json;artifacts/assurance/2026-08-16-dev-001/m2_m02-a.json,invalid_development_execution,"Do not use: the runner imported the workspace source instead of the staged mutant source."
SOICT-DEV-003,Pre-isolation-fix M02-A combined run,artifacts/assurance/2026-08-16-dev-001/m3_m02-a-v3.json;artifacts/assurance/2026-08-16-dev-001/m3_m02-a-v3.stdout.txt;artifacts/assurance/2026-08-16-dev-001/m3_m02-a-v3.stderr.txt,invalid_development_execution,"Do not use: raw output proves the workspace source was imported instead of the staged mutant source."
SOICT-DEV-004,Pre-isolation-fix M08-A combined run,artifacts/assurance/2026-08-16-dev-001/m3_m08-a-v1.json;artifacts/assurance/2026-08-16-dev-001/m3_m08-a-v1.stdout.txt;artifacts/assurance/2026-08-16-dev-001/m3_m08-a-v1.stderr.txt,invalid_development_execution,"Do not use: raw output proves the workspace source was imported instead of the staged mutant source."
SOICT-DEV-005,Second pre-isolation-fix M08-A combined run,artifacts/assurance/2026-08-16-dev-002/m3_m08-a-v2.json;artifacts/assurance/2026-08-16-dev-002/m3_m08-a-v2.stdout.txt;artifacts/assurance/2026-08-16-dev-002/m3_m08-a-v2.stderr.txt,invalid_development_execution,"Do not use: raw output proves the workspace source was imported instead of the staged mutant source."
