claim_id,claim,evidence_artifact,status,allowed_wording
RIVF-PROTOCOL-001,The benchmark protocol contains all required attack families,evaluation/governance_adversarial/manifest_schema.json,supported_protocol,Protocol only; no execution claim.
RIVF-PROTOCOL-002,Future EXECUTED adapter rows must bind observation and arm-implementation files to locally verified SHA-256 bytes,evaluation/governance_adversarial/execute.py;evaluation/governance_adversarial/test_execute.py,supported_protocol,Artifact-integrity gate only; no boundary adapter or RIVF outcome exists.
RIVF-PROTOCOL-003,Named RIVF arms are isolated and apply their prespecified admission coordinates through a synthetic authenticated HTTP-to-GST probe,services/api/src/clara_api/core/govred_research.py;services/api/src/clara_api/api/v1/endpoints/govred_research.py;services/api/src/clara_api/glhs/gateway.py;services/api/tests/test_govred_research_gate.py;services/api/tests/test_govred_research_transition_arms.py;services/api/tests/test_govred_research_endpoint.py,supported_protocol,The explicit non-production clara-rivf gate selects only the prespecified binding/state/governance coordinate checks and mounts a synthetic authenticated probe; this is not a complete-boundary observation cache/index route frozen run or RIVF outcome.
RIVF-VENUE-001,IEEE-RIVF 2026 format constraints were checked for future formatting only,research/govred_rivf/venue_cfp_receipt_20260817.json,supported_venue_receipt,"The recorded CFP specifies an English IEEE A4 PDF of up to six pages through EDAS; it must be rechecked before use."
RIVF-DEV-001,One isolated foreign-profile boundary probe denied the request and observed unchanged PostgreSQL and audit hashes,artifacts/govred/2026-08-17-rivf-dev-004/boundary_path_probe.json;artifacts/govred/2026-08-17-rivf-dev-004/artifact-sha256.json,development_only,"One sealed synthetic strict-system probe only; Redis changed, so it supplies no cache-invalidation or arm-comparison claim."
RIVF-DEV-002,One repeated isolated foreign-profile boundary probe with GLHS-aware persistence observation denied the request and observed unchanged PostgreSQL and audit hashes,artifacts/govred/2026-08-17-rivf-dev-005/boundary_path_probe.json;artifacts/govred/2026-08-17-rivf-dev-005/environment.json;artifacts/govred/2026-08-17-rivf-dev-005/artifact-sha256.json,development_only,"One sealed synthetic strict-system probe only; Redis changed and is not classified, so it supplies no cache-invalidation, audit-completeness, or arm-comparison claim."
RIVF-DEV-003,One fresh remote isolated strict-system probe denied a synthetic foreign-profile request and retained unchanged sampled store hashes,artifacts/govred/2026-08-17-rivf-dev011/boundary_path_probe.json;artifacts/govred/2026-08-17-rivf-dev011/environment.json;artifacts/govred/2026-08-17-rivf-dev011/artifact-sha256.json,development_only,"One sealed synthetic strict-system probe only; unchanged namespaced Redis observations do not establish cache invalidation, audit completeness, a research-arm comparison, or a frozen RIVF result."
RIVF-DEV-004,One isolated STATE_VERSION_ONLY HTTP-to-GST synthetic probe committed after consent revocation,artifacts/govred/2026-08-17-rivf-dev012/http_admission_probe.json;artifacts/govred/2026-08-17-rivf-dev012/environment.json;artifacts/govred/2026-08-17-rivf-dev012/artifact-sha256.json,development_only,"One sealed synthetic authenticated trace exercised the selected state-only arm; the expected commit after consent revoke is a mechanism observation only, while changed PostgreSQL/Redis signatures and an empty audit hash do not establish cache/audit coverage, an arm comparison, or any RIVF attack-success outcome."
RIVF-DEV-005,One isolated GLHS_STRICT HTTP-to-GST synthetic probe rejected consent-revoked admission,artifacts/govred/2026-08-17-rivf-dev013/http_admission_probe.json;artifacts/govred/2026-08-17-rivf-dev013/environment.json;artifacts/govred/2026-08-17-rivf-dev013/artifact-sha256.json,development_only,"One sealed synthetic authenticated strict-arm trace returned assertion_consent_mismatch after consent revoke; it has no complete cache/index or audit-reconstruction observation and is not a frozen comparison or RIVF outcome."
RIVF-DEV-006,One isolated STATE_VERSION_ONLY HTTP-to-GST synthetic probe rejected a target after a separately committed synthetic state advance,artifacts/govred/2026-08-17-rivf-dev014/http_admission_probe.json;artifacts/govred/2026-08-17-rivf-dev014/environment.json;artifacts/govred/2026-08-17-rivf-dev014/artifact-sha256.json,development_only,"One sealed synthetic authenticated trace returned stale_state_version under the selected state-revalidation coordinate; it has no cache/index or audit-reconstruction observation, frozen comparison, or RIVF outcome."
