manuscript_location,section,reported_sentence,reported_unit,paired_structure,audit_outcome,evidence_or_reason
main.tex:178,Implementation and Reproducibility Boundary,"Model-mediated evaluation used the completed 64-subject solver-v5 cohort on 11 August 2026.",64 synthetic subjects,not applicable,audited_clear,"Cohort is explicitly named; no cell count is used as participant N."
main.tex:178,Implementation and Reproducibility Boundary,"The completed run had zero errors and zero retries.",model-condition run execution,not applicable,audited_clear,"Run-operational statement; it does not create an inferential N."
main.tex:186,Evaluation Design / Contract clause isolation,"Seven progressively stronger variants were applied to the same 16 developer-authored cases, yielding 112 deterministic conformance executions, not 112 independent samples.",16 developer-authored cases and 112 deterministic executions,not applicable,audited_clear,"Explicitly rejects interpreting executions as independent samples."
main.tex:186,Evaluation Design / Contract clause isolation,"Separate property-based, adversarial, leakage, and boundary tests are not pooled with the 112 cells; mutation testing was not part of this study.",test executions,not applicable,audited_clear,"Prevents pooling heterogeneous test executions as observations."
main.tex:189,Evaluation Design / PostgreSQL concurrency,"A four-writer test covered both a shared semantic slot and four unrelated slots under a profile-global version counter.",writer attempts within a race,not applicable,audited_clear,"Describes schedule composition rather than an inferential sample."
main.tex:189,Evaluation Design / PostgreSQL concurrency,"A second grid used 1, 2, 4, 8, and 16 writers, with five independent profile races per level, for 50 races and 310 writer attempts.",profile race as repeated systems schedule; writer attempt as execution,not applicable,audited_needs_precision,"The word independent applies to races but the estimand/aggregation is not stated; writer attempts are correctly distinct from races."
main.tex:189,Evaluation Design / PostgreSQL concurrency,"Losses on the same semantic dependency were classified as true stale; rejections on unrelated slots were classified as false stale.",race outcome classification,not applicable,audited_clear,"No human- or model-subject inference is implied."
main.tex:191,Evaluation Design / Service overhead,"Service-layer overhead used a clean, one-worker, in-process PostgreSQL 16.14 run with read-committed isolation, synchronous commit, history depth 50, and 30 repetitions per operation.",operation repetition,not applicable,audited_clear,"Repetitions are operational benchmark measurements, not subjects."
main.tex:191,Evaluation Design / Service overhead,"HTTP transport, worker scaling, and provider inference were excluded; p99 is omitted because 30 repetitions do not support a stable tail estimate.",operation repetition,not applicable,audited_clear,"Correctly limits tail inference from 30 repetitions."
main.tex:194,Evaluation Design / Frozen two-model context-utility cohort,"Strict THSS was compared with full authorized history, long chronological context, Naive RAG, last-write-wins (LWW), and BTSA.",64 synthetic subjects evaluated under model-condition combinations,subject-paired within model/comparator,audited_clear,"Comparator statement does not imply each cell is an independent subject."
main.tex:194,Evaluation Design / Frozen two-model context-utility cohort,"The preregistered endpoint was subject-level all-axes exact match.",64 synthetic subjects,subject-level paired endpoint,audited_clear,"Primary inferential unit is explicit."
main.tex:194,Evaluation Design / Frozen two-model context-utility cohort,"Ten paired tests (five comparators for each model) were analyzed in one Holm family.",subject-paired contrasts,paired by subject within model/comparator,audited_clear,"Pairing and multiplicity family are explicit."
main.tex:194,Evaluation Design / Frozen two-model context-utility cohort,"Missing or malformed outputs counted as errors.",model-condition output,paired subject result after error handling,audited_clear,"Defines outcome handling without changing unit."
main.tex:194,Evaluation Design / Frozen two-model context-utility cohort,"Paired subject-level differences were bootstrapped 1,000 times with seed 20260811; exact two-sided sign tests used only discordant subjects and were Holm-adjusted across all ten tests.",64 synthetic subjects; discordant subject pairs,paired by subject within contrast,audited_clear,"Bootstrap and exact tests are explicitly subject-paired; discordances are correctly the sign-test information set."
main.tex:194,Evaluation Design / Frozen two-model context-utility cohort,"The 64-subject plan targeted at least 51 non-tied pairs and approximately 81.5\% power for directional win probability 0.75 under a conservative 0.005 per-test threshold; observed significant contrasts ultimately contained only 9--21 non-tied subjects.",64 synthetic subjects and non-tied subject pairs,paired by subject,audited_clear,"Planning and observed-information statements retain the correct paired unit."
main.tex:200,Results / Contract conformance,"All 112 cells in the 16-case $\times$ 7-variant matrix produced the expected conformance result and identified the first rejecting clause.",112 deterministic conformance executions,not applicable,audited_clear,"Cell count is labeled matrix execution; no participant-style inference."
main.tex:203,Results / Atomic write safety,"In the $N=4$ PostgreSQL test, both same-slot and unrelated-slot races produced one atomic winner and three stale rejections with no database error.",single four-writer race schedule,not applicable,audited_needs_precision,"N=4 can be mistaken for sample size; patch set replaces it with 'four-writer'."
main.tex:203,Results / Atomic write safety,"Under these tested conditions the profile-global contract failed closed.",tested race schedules,not applicable,audited_clear,"Scope is explicitly limited to tested conditions."
main.tex:203,Results / Atomic write safety,"The contention grid reproduced the expected consequence of one winner per simultaneous profile race: unrelated-slot false-stale rejection was 0 with one writer, 0.50 with two, 0.75 with four, 0.875 with eight, and 0.9375 with sixteen.",writer-level outcomes within repeated race schedules,not applicable,audited_needs_precision,"Rates are deterministic benchmark design outputs; denominator and aggregation are not given in the sentence."
main.tex:203,Results / Atomic write safety,"These values are a design consequence reproduced by the benchmark, not estimated population rates.",benchmark schedule outputs,not applicable,audited_clear,"Correctly prevents population-rate interpretation."
main.tex:209,Results / Service-layer overhead,"Descriptive PostgreSQL service-layer benchmark: one worker, history depth 50, 30 repetitions per operation.",30 repetitions per operation,not applicable,audited_clear,"Table caption labels measurements as descriptive operational repetitions."
main.tex:225,Results / Service-layer overhead,"Peak process RSS was approximately 109 MiB.",single benchmark environment,not applicable,audited_clear,"Environment measurement only."
main.tex:225,Results / Service-layer overhead,"These measurements describe one local, in-process service-layer environment and are not public-HTTP latency, deployment capacity, or production throughput.",benchmark measurements,not applicable,audited_clear,"External-validity boundary is explicit."
main.tex:228,Results / Prospective two-model evaluation,"The solver-v5 benchmark completed all 1,152 model-condition cells with zero errors and zero retries.",1152 model-condition evaluations,not applicable,audited_clear,"Cells are expressly model-condition evaluations, not subjects."
main.tex:228,Results / Prospective two-model evaluation,"Across cells, accuracy was 93.06\% for lifecycle, 96.79\% for evidence, 99.22\% for timeliness, and 99.83\% for escalation; 1,027/1,152 cells (89.15\%) were exact on all four axes.",1152 model-condition evaluations,not applicable,audited_clear,"Aggregate cell-level descriptive accuracy is explicitly scoped 'Across cells'."
main.tex:228,Results / Prospective two-model evaluation,"On the subject-level primary endpoint, Strict THSS reached 63/64 (98.44\%) with Claude and 64/64 (100\%) with Gemini.",64 synthetic subjects,subject-level within each model,audited_clear,"Primary endpoint denominator and unit are explicit."
main.tex:228,Results / Prospective two-model evaluation,"The single remaining Strict-THSS Claude error---a cancelled history predicted as satisfied---was retained without post-hoc repair.",one model-condition outcome on a subject,not applicable,audited_clear,"Error is narrative detail, not a new independent N."
main.tex:228,Results / Prospective two-model evaluation,"The 128 construction-review requests served a separate bounded purpose: two model reviews per subject checked deterministic anchor construction while code retained final authority.",128 construction-review requests; 64 subjects,not applicable,audited_clear,"Requests are explicitly separated from the inferential cohort endpoint."
main.tex:228,Results / Prospective two-model evaluation,"All 64 constructions were accepted; candidate-slot F1 and due-window exact accuracy were both 1.0.",64 deterministic constructions,not applicable,audited_clear,"Construction review is clearly bounded and distinct from model-condition-cell inference."
main.tex:233,Results / Prospective two-model evaluation,"Ten preregistered subject-level contrasts for Strict THSS.",subject-level contrasts,paired by subject,audited_clear,"Table caption declares the contrast unit."
main.tex:233,Results / Prospective two-model evaluation,"Positive effects favor Strict THSS; Holm adjustment spans the complete ten-test family.",paired subject-level risk-difference direction,paired by subject,audited_needs_precision,"Effect column is labeled pp but the manuscript does not define it as the paired-subject risk-difference estimand."
main.tex:253,Results / Prospective two-model evaluation,"Six contrasts remained Holm-significant, but only 9--21 discordant subjects informed those tests, below the planned 51 informative pairs.",discordant subject pairs,paired by subject,audited_clear,"Reports the actual exact-test information set and planned comparator."
main.tex:253,Results / Prospective two-model evaluation,"Claude versus BTSA was not significant, and Gemini tied BTSA, full history, and long context exactly.",paired subject-level contrasts,paired by subject,audited_clear,"Contrasts refer back to subject-level table and design."
main.tex:253,Results / Prospective two-model evaluation,"The exact sign tests remain valid for observed discordances, but the high tie rate limits effect-size precision and confirmatory strength.",discordant subject pairs,paired by subject,audited_clear,"Appropriately limits interpretation from sparse discordances."
main.tex:268,Limitations and Versioning Roadmap,"The prospective model cohort contains only 64 synthetic subjects, and frequent ties left 9--21 informative pairs in significant comparisons rather than the planned 51.",64 synthetic subjects and discordant subject pairs,paired by subject,audited_clear,"Limitations repeat the correct inferential units."
main.tex:268,Limitations and Versioning Roadmap,"Strict THSS was not significantly better than BTSA for Claude; Gemini tied BTSA, full history, and long context.",paired subject-level contrasts,paired by subject,audited_clear,"Conclusion is constrained by the paired analysis."
GLHS historical solver grid,Program-wide unit registry,"1,152 solver cells are model-condition evaluations.",1152 model-condition evaluations,not applicable,audited_clear,"Retained registry row; prohibited wording is 'N=1,152 participants or independent observations'."
GovRed RIVF,Program-wide unit registry,"Retries and race attempts are collapsed within the logical attack instance.",frozen logical attack instance,not applicable,protocol_frozen_pending_execution,"Retained cross-study unit rule."
SOICT assurance,Program-wide unit registry,"Mutation score uses executable non-equivalent mutants as the inferential object.",controlled mutant,not applicable,protocol_draft,"Retained cross-study unit rule."
CareGuard-VN,Program-wide unit registry,"Identity cases and DDI pairs are separately analyzed; not-in-reference pairs are not true negatives.",external identity case or frozen logical pair,not applicable,protocol_not_started,"Retained cross-study unit rule."
