source_id,arxiv_id,reviewed_url,retrieved_utc,content_type,content_sha256,review_scope,retained_payload,review_status
MEMTXN-2026,2607.27834,https://arxiv.org/html/2607.27834,2026-08-17T00:00:00Z,text/html,79a8da8e581a55c4943ad8a2182ffaa37f89442071b7f89b4beca1b7dd3743b5,"Full HTML retrieved; reviewed abstract introduction related work method headings and source-supported admission/version-resolution/recovery sections.",none; hash-only receipt,full_text_scope_coded
MEMTX-2026,2607.23929,https://arxiv.org/html/2607.23929,2026-08-17T00:00:00Z,text/html,aae820f22bf29a96c1527fc3297c932787f0b4937dda3de2ce9fdd00d1298736,"Full HTML retrieved; reviewed abstract introduction protocol headings and transactions/commit-pipeline/action-gating sections.",none; hash-only receipt,full_text_scope_coded
GATEMEM-2026,2606.18829,https://arxiv.org/html/2606.18829,2026-08-17T00:00:00Z,text/html,21d550dfe9738917dd6a2b473736ec783cbaf1a60ca4b7f5e30a22fb3552bec0,"Full HTML retrieved; reviewed abstract introduction benchmark/checkpoint/metric sections and governance scope.",none; hash-only receipt,full_text_scope_coded
CORDON-2026,2606.17573,https://arxiv.org/html/2606.17573,2026-08-17T00:00:00Z,text/html,eca4837b9ccfb0428cff39e2b3470783bc776ced8e4e213d47b07a11517bcc8c,"Full HTML retrieved; reviewed abstract introduction semantic-transaction model runtime architecture and commit/recovery headings.",none; hash-only receipt,full_text_scope_coded
TOKI-2026,2606.06240,https://arxiv.org/html/2606.06240,2026-08-17T00:00:00Z,text/html,91c032f40781ee87d71473e1c47224ad2b894885db193b55a6370289da1ab25b,"Full HTML retrieved; reviewed abstract background operator algebra soundness system and empirical-validation sections.",none; hash-only receipt,full_text_scope_coded
VERIFIED-CONCURRENCY-2026,2606.17182,https://arxiv.org/html/2606.17182,2026-08-17T00:00:00Z,text/html,f21fe6f8a416489fbee7bc318b8c2083763d17d8f3481979a0c09221afd2dbe2,"Full HTML retrieved; reviewed abstract runtime model anomaly catalog and verification/concurrency sections.",none; hash-only receipt,full_text_scope_coded
COMMITGUARD-2026,2607.10487,https://arxiv.org/html/2607.10487,2026-08-17T00:00:00Z,text/html,54fe8e339f0fa41a4cb976c149bb8e94dd563b35a9fa865f6eacec339915439a,"Full HTML retrieved; reviewed abstract authorized-commit threat model commit-boundary model and evaluation sections.",none; hash-only receipt,full_text_scope_coded
PROVENACT-2026,2608.02764,https://arxiv.org/html/2608.02764,2026-08-17T00:00:00Z,text/html,03a2e741f378513267c9cb5195c496ee1e77eef3d87a3b23f72701e3fffe126b,"Full HTML retrieved; reviewed abstract stateful-governance model policy-state serializability provider-contract and PostgreSQL evaluation sections.",none; hash-only receipt,full_text_scope_coded
GOVERNED-SHARED-MEMORY-2026,2606.24535,https://arxiv.org/html/2606.24535,2026-08-17T00:00:00Z,text/html,66912fc5d72b76b628eafd267cbd4e667b8444716d149e5e41deda2577cc7e2b,"Full HTML retrieved; reviewed abstract fleet-memory failure modes governed primitives and live REST evaluation sections.",none; hash-only receipt,full_text_scope_coded
HEALTHCLAW-2026,2607.13940,https://arxiv.org/html/2607.13940,2026-08-17T00:00:00Z,text/html,73e7ea117a91977c53a636074bc8e28c326a18a4f9ebc85db8f79e4d6f5c85f9,"Full HTML retrieved; reviewed abstract introduction health-memory architecture longitudinal benchmark privacy probes and methods headings.",none; hash-only receipt,full_text_scope_coded
