source_id,region,language,owner,category,source_type,entry_url,discovery_url,license,access_mode,ingest_strategy,trust_tier,confidence,priority,refresh_cadence,seed_action,scope,notes
VN-DT-01,vn,vi,Hội đồng Dược thư Quốc gia / Bộ Y tế,Dược thư Quốc gia,drug_reference,https://duocquocgia.com.vn/,https://duocquocgia.com.vn/,Official publication; verify reuse before bulk mirroring,html,html_index,A1,verified,1,quarterly,registry_seed,"chuẩn hóa hoạt chất, chuyên luận thuốc, cảnh báo dùng thuốc","Nguồn chuẩn nội địa nhưng availability không ổn định; dùng registry seed + health check trước khi crawl sâu"
VN-DAV-05,vn,vi,Cục Quản lý Dược (DVC),Công bố thuốc lưu hành,drug_registry,https://dichvucong.dav.gov.vn/congbothuoc/index,https://dichvucong.dav.gov.vn/congbothuoc/index,Public government portal,html,html_table,A1,verified,1,daily,registry_seed,"legal status, số đăng ký, chuẩn hóa biệt dược","Quan trọng cho tra cứu legal status thuốc tại Việt Nam"
VN-DAV-06,vn,vi,Cục Quản lý Dược (DVC),Công bố thuốc không kê đơn,drug_registry,https://dichvucong.dav.gov.vn/congbothuockhongkedon,https://dichvucong.dav.gov.vn/congbothuockhongkedon,Public government portal,html,html_table,A1,verified,1,daily,registry_seed,"OTC self-med guardrail, phân loại thuốc không kê đơn","Ưu tiên cho luồng self-med và OTC safety"
VN-DAV-07,vn,vi,Cục Quản lý Dược (DVC),Công bố thuốc vi phạm chất lượng,drug_safety_alert,https://dichvucong.dav.gov.vn/congbothuocvipham/index,https://dichvucong.dav.gov.vn/congbothuocvipham/index,Public government portal,html,html_table,A1,verified,1,daily,registry_seed,"thuốc vi phạm chất lượng, blocklist theo số đăng ký/lô","Nguồn bắt buộc cho cảnh báo chất lượng và thuốc bị thu hồi"
VN-DAV-01,vn,vi,Cục Quản lý Dược (Bộ Y tế),Thông tin thuốc và quản lý chất lượng,drug_safety_alert,https://dav.gov.vn/thong-tin-thuoc-qlchatluong/page-1.html,https://dav.gov.vn/upload/attach/2592015_18055_qld_cl.pdf,Public government portal,html,pdf_discovery,A1,verified,1,weekly,fulltext_seed,"thu hồi thuốc, thuốc giả, chất lượng thuốc","Page có nhiều file PDF đính kèm; xuất catalog tương thích seed downloader hiện có"
VN-DIADR-01,vn,vi,Trung tâm DI & ADR Quốc gia,Cổng cảnh giác dược quốc gia,pharmacovigilance,https://canhgiacduoc.org.vn/,https://canhgiacduoc.org.vn/CanhGiacDuoc/DiemTin/ThongTinThuoc,Official national center portal,html,html_index,A1,verified,1,weekly,registry_seed,"ADR, cảnh giác dược, thông tin thuốc, dùng thuốc an toàn","Nguồn nội địa trọng yếu cho pharmacovigilance"
VN-DIADR-02,vn,vi,Trung tâm DI & ADR Quốc gia,Bản tin Cảnh giác Dược,pharmacovigilance,https://magazine.canhgiacduoc.org.vn/Volume/Details/71,https://magazine.canhgiacduoc.org.vn/Volume/Download/71,Official national center publication,pdf,pdf_direct,A1,verified,1,quarterly,fulltext_seed,"bản tin an toàn thuốc, case review, khuyến cáo ADR","Nên ingest full issue theo quý và tách bài về sau"
VN-DIADR-05,vn,vi,Trung tâm DI & ADR Quốc gia,Thông tin thuốc,drug_information,https://canhgiacduoc.org.vn/CanhGiacDuoc/DiemTin/ThongTinThuoc,https://canhgiacduoc.org.vn/CanhGiacDuoc/DiemTin/ThongTinThuoc,Official national center portal,html,html_index,A1,verified,1,weekly,registry_seed,"drug safety VN, khuyến cáo an toàn thuốc, ADR","Phù hợp answer flow khi cần nguồn giải thích an toàn nội địa"
VN-MOH-01,vn,vi,Cục Quản lý Khám chữa bệnh (Bộ Y tế),Thư viện tài liệu hướng dẫn chẩn đoán và điều trị,guideline,https://kcb.vn/thu-vien-tai-lieu,https://kcb.vn/upload/2005611/20210723/H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-ch%E1%BA%A9n-%C4%91o%C3%A1n-v%C3%A0-%C4%91i%E1%BB%81u-tr%E1%BB%8B-S%E1%BA%A3n-ph%E1%BB%A5-khoa.pdf,Official government portal,pdf,page_pdf_links,A1,verified,2,monthly,fulltext_seed,"guideline chính thống, chống hallucination khi giải thích dùng thuốc","Dùng làm grounding cho trả lời guideline Việt Nam"
VN-MOH-03,vn,vi,Cục Quản lý Khám chữa bệnh (Bộ Y tế),Hướng dẫn chẩn đoán và điều trị viêm gan B,guideline,https://kcb.vn/thu-vien-tai-lieu/huong-dan-chan-doan-dieu-tri-benh-viem-gan-vi-rut-b.html,https://kcb.vn/thu-vien-tai-lieu/huong-dan-chan-doan-dieu-tri-benh-viem-gan-vi-rut-b.html,Official government portal,html,page_pdf_links,A1,verified,2,yearly,fulltext_seed,"chỉ định, chống chỉ định, theo dõi thuốc chuyên khoa","Giữ như exemplar cho disease-specific guideline ingestion"
